supersense_category	text
noun.person	virus
noun.artifact	analogs
verb.creation	replicating
verb.change	mutate
verb.change	subverting
noun.substance	Chrome
noun.artifact	defenses
verb.cognition	paralyzed
noun.phenomenon	red light
verb.perception	blinking
noun.person	Rikki Wildside
noun.person	Bobby
noun.act	show
noun.communication	neon
noun.artifact	malls
noun.location	plazas
verb.competition	prowl
noun.artifact	clubs
noun.person	Bobby
noun.location	wild side
noun.location	underside
noun.person	players
noun.act	games
noun.location	Gentleman Loser
verb.contact	Hang
noun.act	gliding
verb.contact	Hang
verb.motion	gliding
noun.location	wheatfield
noun.person	Bobby
noun.location	Kiev
noun.person	Jack
noun.artifact	Nightwing parafoil
noun.quantity	kilos
noun.artifact	radar
noun.artifact	jammer
noun.person	asshole
verb.possession	bums
noun.artifact	laser
noun.person	Rikki
noun.person	Bobby
noun.act	game
noun.person	Bobby Quine
noun.attribute	fortune
noun.person	Rikki
verb.emotion	needed
verb.competition	aim
verb.emotion	loved
noun.person	NEXT
noun.artifact	sunglasses
noun.artifact	Glo capitals
verb.weather	flash
noun.group	Gentleman Loser
noun.artifact	emblems
noun.artifact	sigils
noun.person	hustler
noun.artifact	beacons
noun.substance	neon
verb.motion	steer by
verb.emotion	love
noun.act	lights
verb.stative	brings
verb.competition	pushing
verb.social	made do
noun.person	Rikki
verb.change	showed up
verb.change	fading
noun.artifact	edge
noun.act	game
verb.emotion	needed
noun.cognition	score
noun.artifact	clocks
verb.change	set for
noun.person	hustler
verb.cognition	calibrated
noun.attribute	adrenaline
noun.attribute	calm
noun.object	lump
noun.possession	credit
verb.communication	clicks
noun.act	bundle
noun.person	Rikki
verb.contact	set up
noun.person	Finn
verb.motion	Went out
noun.artifact	loft
noun.object	skylight
verb.contact	shadowed
noun.artifact	dome
noun.state	humidity
noun.shape	border
noun.communication	scar
noun.substance	nails
noun.shape	oblongs
noun.substance	lacquer
noun.attribute	shade
noun.artifact	laminate
verb.contact	sheathes
noun.artifact	nails
verb.contact	tracing
noun.artifact	weld
noun.artifact	laminate
noun.body	elbow joint
verb.contact	knuckled
noun.substance	Duralumin
verb.contact	brush
noun.artifact	feedback pads
verb.weather	rained
noun.event	raindrops
verb.motion	drumming
noun.person	Bobby
noun.substance	Ice
verb.motion	flick
noun.artifact	matrix
noun.artifact	prefab building
verb.social	Trying
verb.cognition	remind
noun.group	Chrome
verb.contact	interfaced
noun.artifact	simulator
noun.person	Bobby
noun.artifact	loft
verb.creation	generates
noun.cognition	core data
verb.emotion	take for
noun.group	core data
verb.stative	tower
noun.artifact	freight trains
noun.attribute	primaries
noun.shape	horizontals
noun.artifact	nursery
noun.communication	blues
noun.attribute	pinks
verb.perception	shadows
noun.cognition	heart
noun.substance	Chrome
verb.motion	got back
noun.act	shopping
noun.artifact	pattern
noun.person	Bobby
noun.artifact	monitor
noun.artifact	computer defenses
noun.substance	neon
verb.contact	woven
noun.artifact	Art Deco
noun.artifact	prayer
noun.artifact	rug
verb.contact	off
noun.person	Rikki
noun.artifact	workbench
noun.substance	nylon
noun.artifact	makeup
noun.animal	cowboy
noun.artifact	audio cassettes
noun.communication	program
noun.person	Finn
noun.artifact	jaws
noun.person	jeweler
noun.artifact	vise
noun.artifact	audio turntable
noun.artifact	disc records
noun.artifact	vise
verb.contact	set up
noun.artifact	dust cover
noun.quantity	centimeter
verb.change	swinging
noun.artifact	turntables
verb.contact	clipped
noun.artifact	leads
noun.body	stump
noun.artifact	scope
noun.act	magnification
noun.act	check
noun.artifact	lazer
verb.motion	scaled
noun.cognition	sensor
noun.communication	input
noun.quantity	kilo
noun.cognition	program
noun.artifact	trailer
verb.social	crack
noun.artifact	laser
noun.communication	taps
verb.social	run down
noun.communication	lexicon disc
verb.communication	translate
noun.communication	Russian
noun.communication	alphanumerics
noun.artifact	monitor
noun.communication	gaps
noun.communication	lexicon
verb.motion	ran up
noun.communication	acronyms
noun.communication	readout
noun.person	Finn
noun.person	punk
noun.artifact	switchblade
verb.motion	come home
noun.artifact	neutron bomb
verb.creation	Screwed
noun.artifact	neutron bomb
noun.artifact	streetfight
noun.artifact	dust cover
noun.group	league
noun.person	buyer
noun.communication	Porsche
noun.communication	Belgian
noun.communication	passport
verb.social	move
noun.person	Finn
noun.person	muggers
noun.person	burbs
verb.possession	knocked over
noun.artifact	connections
noun.cognition	program
noun.person	jeweler
noun.artifact	vise
noun.artifact	icebreaker
noun.cognition	program
noun.person	Bobby
verb.body	fallen asleep
noun.quantity	bag
noun.food	takeout
verb.contact	holding out
verb.creation	dreaming of
noun.cognition	program
noun.object	glitch
noun.artifact	systems
noun.substance	subprograms
noun.artifact	function key
noun.artifact	pattern
noun.body	right
verb.body	fallen asleep
noun.cognition	program
noun.person	Rikki
verb.stative	go with
noun.artifact	jump
noun.artifact	cape
verb.body	shaved
noun.location	Chrome
verb.body	convulsed
noun.substance	myoelectrics
noun.substance	carbon
noun.artifact	studs
verb.motion	spilled
noun.plant	sprouts
noun.food	slices
verb.contact	locked on
noun.artifact	rental system
noun.location	Mombasa
noun.artifact	Algerian comsat
noun.person	Chrome
noun.person	Bobby
verb.emotion	blown away
noun.person	Bobby
noun.person	Chrome
verb.social	slumming
verb.cognition	checking out
verb.cognition	aspire
verb.stative	framing
verb.cognition	remember
noun.process	metabolism
noun.cognition	program
noun.substance	serums
noun.body	hormones
noun.person	customer
noun.person	Boys
noun.person	Chrome
noun.state	good standing
noun.group	subsidiary
verb.change	gotten started
noun.body	hormones
verb.possession	proscribed
noun.substance	hormones
noun.group	House
noun.group	Blue Lights
noun.person	Quine
verb.possession	dump
verb.communication	Talk
noun.person	Loser
verb.contact	shrugging
noun.person	Black Myron
noun.person	Crow Jane
noun.person	Jane
noun.group	sex lines
noun.person	Myron
noun.person	Chrome
noun.possession	interest
noun.group	Blue Lights
noun.person	Boys
noun.person	Boys
noun.person	Bobby
verb.cognition	seeing
verb.social	mess
noun.person	Boys
verb.motion	walking around
noun.person	partner
noun.artifact	swivel chair
verb.body	unzipped
noun.artifact	jump
verb.body	scratched
noun.group	partnership
verb.social	dissolved
noun.cognition	shit
noun.location	Miami
verb.change	catch
noun.artifact	hopper
noun.location	Montego Bay
noun.person	Jack
verb.contact	punching
noun.artifact	keyboard
noun.act	prayer
noun.artifact	rug
verb.perception	shivered
verb.change	woke
noun.communication	animation
noun.cognition	program
verb.motion	cut in
verb.motion	weaving
noun.time	frequency
noun.artifact	mandala
noun.person	Bobby
verb.contact	punching
verb.change	slowed
verb.change	resolved
noun.event	alternation
noun.attribute	configurations
verb.contact	Cuts
noun.object	squirt
noun.artifact	comsat
verb.possession	pays
noun.possession	interest
noun.person	bankers
noun.possession	bankbook
noun.person	Jack
noun.person	Crow Jane
verb.stative	forgot
verb.motion	click
noun.person	partner
noun.person	jeweler
noun.artifact	vise
noun.communication	Russian program
noun.person	Wild cards
noun.person	changers
noun.person	Rikki
verb.social	pretending
noun.person	Friends
noun.person	kids
verb.motion	going out
noun.person	Bobby
noun.cognition	program
noun.artifact	roller coaster
noun.artifact	shadow walls
noun.shape	spaces
noun.substance	Black ice
noun.location	Black
noun.location	Gentleman Loser
noun.substance	Ice
verb.perception	feedback
verb.emotion	eats
noun.location	inside out
noun.state	spasm
verb.motion	goes on
verb.motion	diving
noun.location	Chrome
noun.artifact	castle
verb.social	Trying
verb.emotion	brace
noun.act	stopping
noun.state	sickness
noun.event	slackening
verb.contact	looked for
noun.person	Rikki
noun.artifact	cafe
noun.body	suture
noun.body	fines
verb.stative	radiating
noun.body	sockets
noun.communication	brochure
noun.person	Tally Isham
verb.body	smiling up
noun.substance	photographs
noun.person	Girl
noun.body	Eyes
noun.artifact	simstim deck
verb.contact	fixed
verb.motion	jacked
noun.artifact	contact band
noun.person	Tally Isham
noun.artifact	contact band
noun.artifact	sensorium
noun.location	simstim
noun.event	stimuli
noun.cognition	parts
verb.communication	perceived
noun.person	Tally Isham
noun.person	Tally
noun.artifact	effect plane
noun.location	Arizona mesa
noun.person	Tally
verb.possession	dived
noun.location	Truk Island preserves
noun.person	Tally
verb.consumption	partied
noun.location	Greek islands
noun.state	purity
noun.object	seaports
noun.person	Tally
noun.attribute	coloring
noun.body	cheekbones
noun.person	Rikki
noun.person	Tally Isham
verb.possession	coveted
noun.person	Bobby
verb.communication	laughed
noun.artifact	headshot
noun.person	Tally Isham
verb.change	lined up
noun.body	corneas
noun.person	William Gibson
noun.communication	Ikons
noun.act	shopping
noun.person	Tiger
noun.person	Tiger
noun.person	Sendais
verb.body	help
noun.communication	looks
noun.artifact	boutique
noun.person	runner
verb.change	take
verb.communication	pretending
noun.substance	peripherals
verb.change	heal
verb.contact	reached for
noun.artifact	espresso
noun.state	defects
noun.state	hassles
noun.person	Tiger
noun.location	Hollywood
noun.location	Chiba City
verb.body	smile
verb.possession	Got
noun.person	Tiger
verb.cognition	Know
verb.motion	got up
noun.person	Rikki
noun.person	kid
verb.change	deteriorate
noun.person	Rikki
noun.location	England
noun.location	Denmark
noun.person	Jack
noun.communication	lectures
verb.contact	stole
noun.artifact	croissants
verb.contact	nibbled
noun.artifact	horns
noun.location	Burning Chrome
noun.person	adviser
noun.person	kid
noun.person	Tiger
noun.group	Sendais
verb.possession	replace
noun.communication	brochure
noun.quantity	Lot
noun.person	Rikki
noun.act	gamble
noun.person	Ikons
verb.motion	going up to
noun.person	Bobby
verb.social	sit tight
verb.perception	hears
noun.state	craziness
verb.consumption	drank
noun.food	croissants
noun.person	Bobby
noun.possession	pay
noun.communication	Business
noun.state	craziness
noun.attribute	burn
noun.person	Bobby
verb.emotion	loved
verb.communication	get away
noun.communication	phone calls
verb.stative	breed
noun.person	Bobby
noun.group	economy
noun.person	customers
verb.communication	advertised
noun.communication	laundry
verb.change	dry
verb.change	cleaning
noun.possession	cash
noun.act	waste
noun.person	Finn
verb.motion	gone up to
noun.artifact	blackbox
noun.artifact	rig
verb.possession	paying
noun.person	William Gibson
noun.person	Macao
noun.person	Macao
noun.group	Long Hum
noun.person	Stockbrokers
noun.group	Long Hum
noun.act	nukeout
noun.person	Bobby
noun.act	shuttle
noun.act	runs
noun.possession	capital
noun.group	Chrome
verb.social	bum
noun.group	House
noun.location	Blue Lights
noun.artifact	joint
noun.motive	excuse
verb.motion	going after
noun.group	Chrome
noun.cognition	program
noun.person	Bobby
verb.contact	plug
noun.group	Chrome
noun.group	Mat
noun.person	Bobby
noun.person	Russian
noun.communication	program
noun.act	kill
verb.communication	rewrite
noun.person	streetfighter
noun.person	Miles
noun.person	Rikki
verb.communication	phone
verb.contact	grab
noun.artifact	tube out
noun.person	Bobby
verb.cognition	thought about
verb.emotion	loved
verb.possession	spend
verb.possession	Buy
noun.artifact	scene
noun.artifact	keyboard
verb.social	make it
noun.person	Jack
verb.emotion	missed
noun.location	House of
noun.act	Blue Lights
verb.possession	missing
verb.body	gotten
verb.contact	hitting
noun.person	Vasopressin
noun.artifact	inhalers
noun.act	squeeze
noun.artifact	booze
noun.substance	Vasopressin
noun.cognition	pharmacology
noun.substance	Vasopressin
noun.state	amnesia
noun.attribute	uses
noun.event	replay
verb.competition	gunning
noun.act	ecstasy
verb.motion	walked away
verb.cognition	deciding
verb.communication	hushed
verb.motion	trickling
noun.artifact	hologram
noun.person	Bobby
noun.act	roll
noun.person	William Gibson
noun.attribute	looks
verb.motion	went there
noun.communication	crack
noun.person	barman
noun.person	necrophiliacs
verb.social	go down
noun.person	War Hero
verb.change	went out
noun.artifact	sleeping module
verb.contact	hang
noun.substance	foam
noun.artifact	slab
verb.body	cried
noun.location	glitch
noun.artifact	systems
verb.contact	shred
noun.event	whirlwinds
noun.artifact	razors
verb.contact	hang
verb.motion	falling away
noun.person	Bobby
noun.communication	lightyears
noun.substance	void
verb.change	Bum
noun.communication	Russian
noun.cognition	program
noun.object	towers
verb.change	blotting out
noun.artifact	playroom
verb.contact	plug
noun.person	Bobby
noun.person	Chrome
noun.attribute	cold heart
noun.act	squirt
noun.communication	transmission
verb.motion	cuts in
noun.event	pulse
verb.motion	shoots
noun.location	tower
noun.cognition	program
noun.person	Bobby
verb.social	struggles
noun.attribute	shadow
verb.change	twitches
verb.contact	folds
noun.artifact	origami
noun.artifact	loft
verb.perception	smells
noun.location	Chrome
noun.person	Chrome
verb.communication	scream
noun.person	Bobby
noun.act	tears
noun.artifact	monitor
noun.process	burn
noun.communication	Russian
noun.cognition	program
noun.person	Chrome
noun.possession	Zurich
noun.location	world
noun.person	charities
noun.relation	per cent
noun.location	Long Hum
noun.artifact	setup
noun.location	Macao
noun.relation	per cent
verb.contact	kicked
noun.possession	exchange
noun.possession	accounts
verb.communication	opened
verb.contact	pile up
noun.artifact	monitor
noun.person	Miles
verb.communication	blew
noun.communication	code phrase
noun.person	Jack
verb.motion	goes to
noun.person	Loser
verb.motion	hangs out
verb.motion	Goes to
noun.location	House of
noun.group	Blue Lights
noun.location	Side
noun.person	Employees
noun.possession	security
verb.stative	Is
noun.person	William Gibson
noun.artifact	alarms
verb.change	going off
noun.artifact	gear
verb.stative	going on
noun.person	guys
noun.possession	estate
noun.artifact	vans
noun.person	Miles
noun.person	Jack
noun.person	Miles
noun.person	Bobby
verb.contact	rubbing
noun.person	cowboy
noun.substance	neon
verb.communication	willing
noun.object	chip
noun.object	geodesics
verb.cognition	thought about
noun.person	Chrome
verb.contact	slit
noun.artifact	malls
noun.artifact	plazas
verb.contact	hunting
verb.emotion	held back
noun.artifact	cafe
noun.person	Tiger
noun.artifact	sunglasses
noun.phenomenon	smudge
noun.substance	fleshtone
noun.artifact	paintstick
verb.change	Burning
noun.person	Rikki
noun.location	Blue
noun.person	Tally Isham
noun.attribute	blue
noun.attribute	trademark blue
noun.person	ZEISS IKON
verb.contact	ringing
noun.artifact	iris
noun.artifact	capitals
noun.artifact	flecks
noun.attribute	gold
noun.artifact	Paintstick
noun.body	bruising
noun.state	scars
verb.possession	made
noun.person	Bobby
verb.social	pulled down
noun.possession	score
noun.location	Hollywood
noun.person	Tiger
noun.location	Chiba City
noun.person	Bobby
noun.person	Bobby
verb.contact	kissed
verb.contact	messed up
noun.artifact	paintstick
noun.cognition	program
noun.person	Chrome
noun.event	stopping
noun.person	Bobby
verb.motion	slumped
noun.artifact	swivel chair
noun.group	William Gibson
noun.artifact	monitor
noun.artifact	string
noun.quantity	zeros
noun.location	Gentleman Loser
noun.time	nightfall
verb.communication	checking out
verb.emotion	anxious
verb.cognition	waiting
noun.group	House
noun.person	Blue Lights
noun.time	shifts
noun.cognition	approximation
noun.body	reflexes
verb.social	took care
noun.person	customers
verb.communication	complain
verb.emotion	faking
noun.act	orgasms
noun.attribute	flares
noun.person	customers
verb.consumption	needing
noun.act	game
noun.body	neuroelectronics
verb.communication	enable
verb.communication	punched
noun.artifact	airline
noun.communication	real name
noun.communication	flight number
verb.communication	changing
noun.location	Chiba City
noun.location	Japan
verb.contact	thumbed
noun.artifact	credit card
verb.communication	punched
noun.communication	ID code
noun.person	Distant
noun.communication	hum
noun.communication	credit records
noun.communication	return ticket
verb.possession	cashed
noun.possession	fare
noun.artifact	posters
verb.perception	staring back
noun.location	sprawl
verb.communication	waves
noun.feeling	goodbye
noun.person	Hiro
verb.contact	oscillating
noun.substance	neon
noun.artifact	mesh
noun.artifact	hammock
verb.communication	scream
noun.person	Feedback
verb.stative	raged
noun.substance	bonephone
noun.artifact	implant
noun.artifact	centers
verb.contact	cutting through
noun.person	surrogate
noun.artifact	barbiturate
noun.state	fog
noun.communication	biography
verb.motion	looming
verb.body	doing
verb.body	waking
noun.person	Hiro
verb.perception	crackling
noun.phenomenon	conduction
noun.artifact	implant.-
noun.person	Toby
verb.cognition	Know
verb.communication	scream
noun.person	Dr. Nagashima
noun.communication	litany
noun.communication	business
noun.quantity	millivolt
noun.event	spike
noun.body	temporals
verb.contact	Mixing
noun.artifact	downers
noun.person	Hiro
verb.motion	collapsed
noun.artifact	hammock
noun.person	Air -
verb.creation	sawing
noun.person	Leni Hofmannstahl
noun.person	Toby
noun.person	physical chemist
noun.location	Federal Republic
noun.location	Germany
verb.communication	quit
verb.body	groaning
noun.artifact	meatshot
noun.person	workaday
noun.communication	terminology
noun.act	telemetry
noun.quantity	1
noun.state	status
noun.person	surrogate
noun.person	Toby
verb.cognition	syncs
noun.location	leave
noun.artifact	leave
noun.artifact	agricultural canisters
verb.change	ripped
noun.artifact	amitriptyline
noun.artifact	aerobic
noun.act	exercises
verb.competition	counter
noun.state	bout
noun.person	surrogate
verb.social	get along
verb.communication	Funny
noun.person	guy
noun.person	Toby
noun.artifact	dope
noun.person	Charmian
noun.person	mom
noun.person	Hiro
noun.person	Toby
verb.motion	Get up
noun.artifact	hammock
noun.act	game
noun.person	Toby Halpert
noun.location	Place
noun.location	Universe
noun.person	egotist
noun.artifact	lumiary
noun.body	orb
noun.location	orbit
noun.object	Mars
noun.person	Tsiolkovsky
noun.person	Worker
noun.location	Paradise
noun.location	L-5
noun.communication	Tsiolkovsky
noun.location	liberation point
noun.phenomenon	gravity
noun.artifact	lightsail
noun.quantity	tons
noun.substance	aluminum
verb.change	spun
noun.shape	hexagon
noun.quantity	kilometers
noun.substance	sail
verb.contact	towed
noun.location	orbit
noun.artifact	anchor
verb.contact	tack
noun.object	photon
noun.artifact	Highway
noun.person	French
noun.artifact	metro
noun.artifact	subway
noun.person	Russians
noun.artifact	subway
noun.person	Americans
noun.state	loneliness
verb.communication	Call
noun.location	Tovyevski Anomaly Coordinates
noun.person	Olga
noun.person	Olga Tovyevski
noun.person	Patron Saint
noun.person	Hiro
noun.person	orderlies
noun.artifact	cubicle
noun.artifact	remote control
verb.motion	strobe
verb.communication	stutter
noun.person	Saint Olga
noun.person	Charmian
verb.contact	taped up
noun.artifact	bulkhead
noun.quantity	Dozens
noun.communication	newsprint
noun.communication	glossy
noun.group	Our Lady of the Highway
noun.person	Lieutenant Colonel Olga Tovyevski
noun.group	rank
verb.motion	route
noun.location	Mars
noun.artifact	Alyut
noun.communication	modifications
noun.cognition	prototype
noun.artifact	airscrubber
verb.social	tested
noun.location	USSR
noun.artifact	remote
noun.person	Tsiolkovsky
noun.person	Olga
verb.communication	log
noun.time	mission time
verb.social	made sure
verb.contact	stuck
noun.artifact	flare experiments
noun.act	tail end
noun.location	Australian
noun.person	Olga
noun.artifact	timer
noun.artifact	buttons
noun.artifact	cameo
noun.location	Space
noun.person	cosmonaut
noun.group	gender
noun.artifact	chronometer
verb.motion	poised
noun.artifact	buttons
verb.creation	trigger
noun.artifact	flares
noun.person	Colonel Tovyevski
verb.motion	nearing
noun.location	Highway
verb.communication	punched
noun.artifact	button
noun.event	triggering
noun.group	sequence
noun.person	Alyut
noun.quantity	kilometers
noun.process	flare
noun.event	burst
noun.phenomenon	radio energy
noun.time	megahertz
noun.communication	broadcast
noun.time	frequency
noun.substance	hydrogen atom
noun.artifact	radio telescope
verb.possession	relaying
noun.artifact	comsats
noun.location	Urals
noun.location	New South Wales
noun.person	Alyut
noun.cognition	afterimage
noun.process	flare
noun.cognition	afterimage
noun.artifact	monitor
noun.artifact	screens
noun.person	Alyut
noun.location	Urals
noun.person	Georgian
verb.contact	bit
noun.communication	stem
noun.artifact	meerschaum
noun.location	New South Wales
noun.person	physicist
verb.contact	slam
noun.artifact	monitor
noun.artifact	pinball
noun.person	finalist
verb.social	protesting
noun.group	TILT
noun.location	Heaven
noun.person	Hollywood
noun.location	Bauhaus
noun.artifact	mummy
noun.artifact	sarcophagus
noun.substance	acrylic
noun.artifact	lid
noun.artifact	consoles
noun.communication	textbook
noun.communication	illustration
noun.person	clown
verb.motion	milling
noun.person	Hiro
noun.artifact	cowboy shirt
noun.person	UCLA
noun.shape	figures
verb.stative	cascading
noun.artifact	monitor
noun.location	Heaven
noun.act	rotation
noun.artifact	dormitories
noun.artifact	cafeterias
noun.artifact	air - lock deck
verb.contact	haul
noun.act	Communications
noun.group	Wards
noun.location	Heaven
noun.attribute	green heart
noun.group	economy
noun.quantity	stream
noun.communication	flood
noun.communication	rumors
noun.artifact	hammock
verb.motion	snaking
